Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
03/10/10,Lazio,Brescia,1,0,H,1.0,0.0,H,23.0,8.0,8.0,2.0,11.0,16.0,7.0,5.0,1.0,1.0,0.0,1.0
03/10/10,Lecce,Catania,1,0,H,1.0,0.0,H,4.0,9.0,3.0,1.0,23.0,15.0,3.0,7.0,1.0,0.0,0.0,0.0
03/10/10,Napoli,Roma,2,0,H,0.0,0.0,D,16.0,15.0,6.0,2.0,22.0,9.0,7.0,5.0,4.0,2.0,0.0,0.0
16/10/10,Milan,Chievo,3,1,H,2.0,0.0,H,14.0,18.0,11.0,7.0,10.0,13.0,4.0,8.0,1.0,3.0,0.0,0.0
16/10/10,Roma,Genoa,2,1,H,1.0,0.0,H,11.0,12.0,4.0,2.0,20.0,26.0,4.0,6.0,1.0,3.0,0.0,0.0
17/10/10,Bari,Lazio,0,2,A,0.0,0.0,D,16.0,8.0,5.0,3.0,15.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0
17/10/10,Brescia,Udinese,0,1,A,0.0,0.0,D,18.0,6.0,5.0,1.0,18.0,19.0,8.0,5.0,2.0,1.0,0.0,0.0
17/10/10,Cagliari,Inter,0,1,A,0.0,1.0,A,11.0,21.0,3.0,4.0,8.0,16.0,5.0,9.0,3.0,1.0,0.0,0.0
17/10/10,Catania,Napoli,1,1,D,0.0,1.0,A,16.0,8.0,6.0,2.0,13.0,18.0,13.0,5.0,1.0,2.0,0.0,1.0
17/10/10,Cesena,Parma,1,1,D,1.0,1.0,D,7.0,10.0,3.0,2.0,17.0,13.0,5.0,7.0,2.0,3.0,0.0,0.0
17/10/10,Juventus,Lecce,4,0,H,3.0,0.0,H,12.0,10.0,5.0,3.0,12.0,19.0,2.0,5.0,0.0,5.0,0.0,0.0
17/10/10,Palermo,Bologna,4,1,H,2.0,0.0,H,29.0,6.0,11.0,2.0,14.0,10.0,9.0,6.0,2.0,4.0,0.0,0.0
17/10/10,Sampdoria,Fiorentina,2,1,H,0.0,1.0,A,15.0,7.0,6.0,2.0,13.0,21.0,6.0,5.0,4.0,4.0,0.0,0.0
23/10/10,Fiorentina,Bari,2,1,H,1.0,0.0,H,15.0,9.0,7.0,2.0,9.0,12.0,3.0,7.0,4.0,2.0,0.0,0.0
24/10/10,Bologna,Juventus,0,0,D,0.0,0.0,D,6.0,21.0,1.0,5.0,20.0,15.0,2.0,6.0,3.0,1.0,0.0,0.0
24/10/10,Chievo,Cesena,2,1,H,1.0,1.0,D,16.0,14.0,12.0,5.0,12.0,16.0,10.0,8.0,3.0,1.0,0.0,1.0
24/10/10,Genoa,Catania,1,0,H,0.0,0.0,D,11.0,10.0,4.0,3.0,24.0,21.0,2.0,3.0,2.0,3.0,0.0,0.0
