Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
04/02/11,Dortmund,Schalke 04,0,0,D,0,0,D,21,6,9,2,13,19,1,2,2,3,0,0
05/02/11,FC Koln,Bayern Munich,3,2,H,0,2,A,17,12,6,4,19,17,5,7,0,2,0,0
05/02/11,Hannover,Wolfsburg,1,0,H,1,0,H,10,12,4,3,18,16,4,4,1,3,0,0
05/02/11,Hoffenheim,Kaiserslautern,3,2,H,2,0,H,17,24,8,7,17,24,4,7,1,2,1,0
05/02/11,Mainz,Werder Bremen,1,1,D,1,0,H,10,9,5,3,19,24,6,3,1,4,0,0
05/02/11,M'gladbach,Stuttgart,2,3,A,2,0,H,12,9,5,3,19,14,5,3,1,2,1,0
05/02/11,Nurnberg,Leverkusen,1,0,H,0,0,D,9,11,3,0,25,19,3,2,1,3,1,0
06/02/11,Freiburg,Ein Frankfurt,0,0,D,0,0,D,12,12,0,3,14,21,5,6,0,2,0,0
12/02/11,Bayern Munich,Hoffenheim,4,0,H,2,0,H,17,14,11,4,5,17,8,3,0,4,0,0
12/02/11,Ein Frankfurt,Leverkusen,0,3,A,0,2,A,12,12,3,6,25,15,1,6,3,1,0,0
12/02/11,Kaiserslautern,Dortmund,1,1,D,0,0,D,15,17,3,6,14,16,6,2,1,0,0,1
12/02/11,Schalke 04,Freiburg,1,0,H,0,0,D,20,3,7,1,7,22,12,0,2,2,0,0
12/02/11,St Pauli,M'gladbach,3,1,H,1,1,D,23,7,9,2,14,15,9,1,1,1,0,1
12/02/11,Stuttgart,Nurnberg,1,4,A,1,2,A,10,20,5,10,10,21,3,7,3,1,0,0
